ST_CODE,PC_NAME,ST_NAME,CAND_NAME,PARTYABBRE,YEAR,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
S11,Ernakulam,KERALA,Adv. George Eden,INC,1999,11,GEN,7,M,394058
S11,Muvattupuzha,KERALA,Adv. P.C. Thomas,KEC(M),1999,12,GEN,7,M,357402
S11,Kottayam,KERALA,Suresh Kurup,CPM,1999,13,GEN,7,M,344296
S11,Idukki,KERALA,K. Francis George,KEC,1999,14,GEN,7,M,365313
S11,Alleppey,KERALA,V.M. Sudheeran,INC,1999,15,GEN,7,M,392700
S11,Mavelikara,KERALA,Ramesh Chennithala,INC,1999,16,GEN,7,M,310455
S11,Adoor,KERALA,Kodikunnil Suresh,INC,1999,17,SC,7,M,337003
S11,Quilon,KERALA,P. Rajendran,CPM,1999,18,GEN,7,M,351869
S11,Chirayinkil,KERALA,Varkala Radhakrishnan,CPM,1999,19,GEN,7,M,309304
S11,Trivandrum,KERALA,Advocate V.S. Sivakumar,INC,1999,20,GEN,7,M,288390
S12,Morena,MADHYA PRADESH,Ashok Chhaviram  Argal,BJP,1999,1,SC,7,M,210790
S12,Bhind,MADHYA PRADESH,Dr. Ramlakhan Singh,BJP,1999,2,GEN,7,M,270766
S12,Gwalior,MADHYA PRADESH,Jaibhan Singh Pavaiya,BJP,1999,3,GEN,7,M,254486
S12,Guna,MADHYA PRADESH,Madhavrao Scindia,INC,1999,4,GEN,7,M,443965
S12,Sagar,MADHYA PRADESH,Virendra Kumar,BJP,1999,5,SC,7,M,293357
S12,Khajuraho,MADHYA PRADESH,Satyavrat Chaturvedi ( Vinod Bhaiya ),INC,1999,6,GEN,7,M,335861
S12,Damoh,MADHYA PRADESH,Dr. Ramkrishna Kusmaria,BJP,1999,7,GEN,7,M,246909
S12,Satna,MADHYA PRADESH,Ramanand Singh,BJP,1999,8,GEN,7,M,217932
S12,Rewa,MADHYA PRADESH,Sunder Lal Tiwari,INC,1999,9,GEN,7,M,275115
S12,Sidhi,MADHYA PRADESH,Chandra Pratap Singh ( Baba Sahab),BJP,1999,10,ST,7,M,264981
S12,Shahdol,MADHYA PRADESH,Dalpat Singh,BJP,1999,11,ST,7,M,262229
