DHARWAD SOUTH,Karnataka, I G SANADI,INC,1996
GULBARGA,Karnataka, QAMARUL ISLAM,JD,1996
HASSAN,Karnataka, Y N RUDRESHAGOWDA,JD,1996
KANAKAPURA,Karnataka, H D KUMARASWAMY,JD,1996
KANARA,Karnataka, ANANT D. HEGDE,BJP,1996
KOLAR (SC),Karnataka, K H MUNIYAPPA,INC,1996
MANDYA,Karnataka, KRISHNA,JD,1996
MANGALORE,Karnataka, V DHANANJAYA KUMAR,BJP,1996
MYSORE,Karnataka, SRIKANTADATTA NARASIMHARAJA WADEYAY,INC,1996
RAICHUR,Karnataka, RAJA RANGAPPA NAIK,JD,1996
SHIMOGA,Karnataka, S BANGARAPPA,KCP,1996
TUMKUR,Karnataka, C N BHASKARAPPA,JD,1996
UDUPI,Karnataka, OSCAR FERNANDES,INC,1996
BIDAR (SC) ,Karnataka,RAMACHANDRA VEERAPPA ,BJP,1996
KOPPAL ,Karnataka,BASAVARAJ RAYA REDDY ,JD,1996
CHAMARAJANAGAR (SC) ,Karnataka,A SIDDARAJU ,JD,1996
BIJAPUR ,Karnataka,PATIL BASANGOUDA RUDRAGOUDA ,JD,1996
ADOOR (SC),Kerala, KODIKKUNNIL SURESH,INC,1996
ALLEPPEY,Kerala, V M SUDHEERAN,INC,1996
BADAGARA,Kerala, O. BHARATHAN,CPM,1996
CALICUT,Kerala, M P VEERENDRA KUMAR,JD,1996
CANNANORE,Kerala, MULLAPPALLY RAMACHANDRAN,INC,1996
CHIRAYINKIL,Kerala, A.SAMPATH,CPM,1996
ERNAKULAM,Kerala, XAVIER ARRAKKAL,IND,1996
IDUKKI,Kerala, A.C.JOS,INC,1996
KOTTAYAM,Kerala, REMESH CHENNITHALA,INC,1996
MANJERI,Kerala, E.AHAMMED,MUL,1996
MAVELIKARA,Kerala, P.J.KURIEN,INC,1996
MUKUNDAPURAM,Kerala, P. C.CHACKO,INC,1996
MUVATTUPUZHA,Kerala, P C THOMAS,KEC(M),1996
OTTAPALAM (SC),Kerala, S. AJAYAKUMAR,CPM,1996
PALGHAT,Kerala, N N KRISHNADAS,CPM,1996
PONNANI,Kerala, G.M.BANATWALLA,MUL,1996
QUILON,Kerala, N.K.PREMACHANDRAN,RSP,1996
TRICHUR,Kerala, V.V.RAGHAVAN,CPI,1996
KASARAGOD ,Kerala,T. GOVINDAN ,CPM,1996
TRIVANDRUM ,Kerala,K.V.SURENDRANATH  ,CPI,1996
BALAGHAT,Madhya Pradesh, VISHVESHWAR BHAGAT,INC,1996
BASTAR (ST),Madhya Pradesh, MAHENDRA KARMA,IND,1996
BETUL,Madhya Pradesh, VIJAY KUMAR KHANDELWAL,BJP,1996
BHIND,Madhya Pradesh, DR. RAM LAKHAN SINGH,BJP,1996
BHOPAL,Madhya Pradesh, SUSHIL CHANDRA,BJP,1996
BILASPUR (SC),Madhya Pradesh, PUNNULAL MOHLE,BJP,1996
CHHINDWARA,Madhya Pradesh, ALKA KAMALNATH,INC,1996
DAMOH,Madhya Pradesh, RAM KRISHNA KUSMARIA,BJP,1996
DHAR (ST),Madhya Pradesh, CHHATAR SINH DARBAR,BJP,1996
DURG,Madhya Pradesh, TARACHAND SAHU,BJP,1996
GUNA,Madhya Pradesh, RAJMATA VIJAYA RAJE SCINDIA,BJP,1996
GWALIOR,Madhya Pradesh, MADHAVRAO SCINDHIYA,MPVC,1996
HOSHANGABAD,Madhya Pradesh, SARTAJ SINGH,BJP,1996
INDORE,Madhya Pradesh, SAU. SUMITRA MAHAJAN,BJP,1996
JABALPUR,Madhya Pradesh, DADA BABURAO PARANJAPE,BJP,1996
JANJGIR,Madhya Pradesh, MANAHARAN LAL PANDEY,BJP,1996
JHABUA (ST),Madhya Pradesh, DILEEP SINGH BHURIA,INC,1996
KANKER (ST),Madhya Pradesh, CHHABILA ARVIND NETAM,INC,1996
KHAJURAHO,Madhya Pradesh, UMA BHARTI,BJP,1996
KHANDWA,Madhya Pradesh, NAND KUMAR SINGH CHOUHAN (NANDU BHAIYA),BJP,1996
KHARGONE,Madhya Pradesh, RAMESHWAR PATTIDHAR,BJP,1996
MAHASAMUND,Madhya Pradesh, PAWAN DIWAN,INC,1996
MANDLA (ST),Madhya Pradesh, FAGGANSINGH KULASTE,BJP,1996
