ST_CODE,ST_NAME,PC_NO,PC_NAME,PC_TYPE,MONTH,YEAR,CAND_NAME,CAND_SEX,PARTYABBRE,TOTVOTPOLL
S07,HARYANA,5,ROHTAK,GEN,3,1998,BHUPINDER SINGH,M,INC,254951
S07,HARYANA,6,FARIDABAD,GEN,3,1998,RAMCHANDER BAINDA,M,BJP,304022
S07,HARYANA,7,MAHENDRAGARH,GEN,3,1998,INDERJIT SINGH,M,INC,329126
S07,HARYANA,8,BHIWANI,GEN,3,1998,SURENDER SINGH S/O BANSI LAL,M,HVP,361257
S07,HARYANA,9,HISSAR,GEN,3,1998,SURENDER SINGH BARWALA,M,HLD(R),260271
S07,HARYANA,10,SIRSA,SC,3,1998,DR.SUSHIL KUMAR INDORA,M,HLD(R),309451
S08,HIMACHAL PRADESH,1,SIMLA,SC,3,1998,KARISHAN DATT SULTANPURI,M,INC,307861
S08,HIMACHAL PRADESH,2,MANDI,GEN,3,1998,MAHESHWAR SINGH,M,BJP,304210
S08,HIMACHAL PRADESH,3,KANGRA,GEN,3,1998,SHANTA KUMAR,M,BJP,334684
S08,HIMACHAL PRADESH,4,HAMIRPUR,GEN,3,1998,SURESH CHANDEL,M,BJP,319631
S10,KARNATAKA,1,BIDAR,SC,3,1998,RAMCHANDRA VEERAPPA,M,BJP,317504
S10,KARNATAKA,2,GULBARGA,GEN,3,1998,BASWARAJ PATIL SEDAM,M,BJP,328982
S10,KARNATAKA,3,RAICHUR,GEN,3,1998,A.VENKATESH NAIK,M,INC,264187
S10,KARNATAKA,4,KOPPAL,GEN,3,1998,H.G.RAMULU,M,INC,289681
S10,KARNATAKA,5,BELLARY,GEN,3,1998,K.C.KONDAIAH,M,INC,284909
S10,KARNATAKA,6,DAVANGERE,GEN,3,1998,SHAMANUR SHIVA SHANKARAPPA,M,INC,343704
S10,KARNATAKA,7,CHITRADURGA,GEN,3,1998,C.P.MUDALA GIRIYAPPA,M,INC,321930
S10,KARNATAKA,8,TUMKUR,GEN,3,1998,S.MALLIKARJUNAIAH,M,BJP,327312
S10,KARNATAKA,9,CHIKBALLAPUR,GEN,3,1998,R.L.JALAPPA,M,INC,360761
S10,KARNATAKA,10,KOLAR,SC,3,1998,K.H.MUNIYAPPA,M,INC,304261
S10,KARNATAKA,11,KANAKAPURA,GEN,3,1998,M.SRINIVAS,M,BJP,470387
S10,KARNATAKA,12,BANGALORE NORTH,GEN,3,1998,C.K.JAFFER SHARIEF,M,INC,399582
S10,KARNATAKA,13,BANGALORE SOUTH,GEN,3,1998,ANANTH KUMAR,M,BJP,429648
S10,KARNATAKA,14,MANDYA,GEN,3,1998,AMBAREESH,M,JD,431439
S10,KARNATAKA,15,CHAMARAJANAGAR,SC,3,1998,SIDDARAJU. A.,M,JD,340490
S10,KARNATAKA,16,MYSORE,GEN,3,1998,C.H.VIJAYASHANKAR,M,BJP,355846
S10,KARNATAKA,17,MANGALORE,GEN,3,1998,V.DHANANJAYA KUMAR,M,BJP,341362
S10,KARNATAKA,18,UDUPI,GEN,3,1998,I.M.JAYARAMA SHETTY,M,BJP,341466
S10,KARNATAKA,19,HASSAN,GEN,3,1998,H.D.DEVEGOWDA,M,JD,336407
S10,KARNATAKA,20,CHIKMAGALUR,GEN,3,1998,SREEKANTAPPA  D.C.,M,BJP,316137
S10,KARNATAKA,21,SHIMOGA,GEN,3,1998,AYANOOR MANJUNATH,M,BJP,352277
S10,KARNATAKA,22,KANARA,GEN,3,1998,ANANT KUMAR,M,BJP,363051
S10,KARNATAKA,23,DHARWAD SOUTH,GEN,3,1998,B.M.MENASINAKAI,M,LS,328333
S10,KARNATAKA,24,DHARWAD NORTH,GEN,3,1998,VIJAY SANKESHWAR,M,BJP,339660
S10,KARNATAKA,25,BELGAUM,GEN,3,1998,BABAGOUDA RUDRAGOUDA PATIL,M,BJP,327891
S10,KARNATAKA,26,CHIKKODI,SC,3,1998,JIGAJINAGI RAMESH CHANDAPPA,M,LS,359760
S10,KARNATAKA,27,BAGALKOT,GEN,3,1998,AJAYKUMAR SAMBASADASHIV SARNAIK,M,LS,352795
