PC Name,State ,Winner,Party,Year,PC NO
 Hingoli  , Maharashtra  , Subhash Bapurao Wankhede  ,SHS,2009,15
 Nanded  , Maharashtra  , Khatgaonkar Patil Bhaskarrao Bapurao  ,INC  ,2009,16
 Parbhani  , Maharashtra  , Adv. Dudhgaonkar Ganeshrao Nagorao  ,SHS,2009,17
 Jalna  , Maharashtra  , Danve Raosaheb Dadarao  ,BJP,2009,18
 Aurangabad  , Maharashtra  , Chandrakant Khaire  ,SHS,2009,19
 Dindori  , Maharashtra  , Chavan Harishchandra Deoram  ,BJP,2009,20
 Nashik  , Maharashtra  , Sameer Bhujbal  ,NCP,2009,21
 Palghar  , Maharashtra  , Jadhav Baliram Sukur  ,BVA,2009,22
 Bhiwandi  , Maharashtra  , Taware Suresh Kashinath  ,INC  ,2009,23
 Kalyan  , Maharashtra  , Anand Prakash Paranjape  ,SHS,2009,24
 Thane  , Maharashtra  , Dr.Sanjeev Ganesh Naik  ,NCP,2009,25
 Mumbai North  , Maharashtra  , Sanjay Brijkishorlal Nirupam  ,INC  ,2009,26
 Mumbai North West  , Maharashtra  , Ad.Kamat Gurudas Vasant  ,INC  ,2009,27
 Mumbai North East  , Maharashtra  , Sanjay Dina Patil  ,NCP,2009,28
 Mumbai North Central  , Maharashtra  , Dutt Priya Sunil  ,INC  ,2009,29
 Mumbai South Central  , Maharashtra  , Eknath M. Gaikwad  ,INC  ,2009,30
 Mumbai South  , Maharashtra  , Deora Milind Murli  ,INC  ,2009,31
 Raigad  , Maharashtra  , Anant Geete  ,SHS,2009,32
 Maval  , Maharashtra  , Babar Gajanan Dharmshi  ,SHS,2009,33
 Pune  , Maharashtra  , Kalmadi Suresh  ,INC  ,2009,34
 Baramati  , Maharashtra  , Supriya Sule  ,NCP,2009,35
 Shirur  , Maharashtra  , Adhalrao Shivaji Dattatray  ,SHS,2009,36
 Ahmadnagar  , Maharashtra  , Gandhi Dilipkumar Mansukhlal  ,BJP,2009,37
 Shirdi  , Maharashtra  , Wakchaure Bhausaheb Rajaram  ,SHS,2009,38
 Beed  , Maharashtra  , Munde Gopinathrao Pandurang  ,BJP,2009,39
 Osmanabad  , Maharashtra  , Patil Padamsinha Bajirao  ,NCP,2009,40
 Latur  , Maharashtra  , Awale Jaywant Gangaram  ,INC  ,2009,41
 Solapur  , Maharashtra  , Shinde Sushilkumar Sambhajirao  ,INC  ,2009,42
 Madha  , Maharashtra  , Pawar Sharadchandra Govindrao  ,NCP,2009,43
 Sangli  , Maharashtra  , Pratik Prakashbapu Patil  ,INC  ,2009,44
 Satara  , Maharashtra  ,  Bhonsle Shrimant Chh.  Udyanraje Pratapsinhmaharaj  ,NCP,2009,45
 Ratnagiri - Sindhudurg  , Maharashtra  , Dr.Nilesh Narayan Rane  ,INC  ,2009,46
 Kolhapur  , Maharashtra  , Sadashivrao Dadoba Mandlik  ,IND,2009,47
 Hatkanangle  , Maharashtra  , Shetti Raju Alias Devappa Anna  ,SWP,2009,48
 Chandni Chowk  , Nct Of Delhi  , Kapil Sibal  ,INC  ,2009,1
 North East Delhi  , Nct Of Delhi  , Jai Prakash Agarwal  ,INC  ,2009,2
 East Delhi  , Nct Of Delhi  , Sandeep Dikshit  ,INC  ,2009,3
 New Delhi  , Nct Of Delhi  , Ajay Makan  ,INC  ,2009,4
 North West Delhi  , Nct Of Delhi  , Krishna Tirath  ,INC  ,2009,5
 West Delhi  , Nct Of Delhi  , Mahabal Mishra  ,INC  ,2009,6
 South Delhi  , Nct Of Delhi  , Ramesh Kumar  ,INC  ,2009,7
 Bargarh  , Orissa  , Sanjay Bhoi  ,INC  ,2009,1
 Sundargarh  , Orissa  , Hemanand Biswal  ,INC  ,2009,2
 Sambalpur  , Orissa  , Amarnath Pradhan  ,INC  ,2009,3
 Keonjhar  , Orissa  , Yashbant Narayan Singh Laguri  ,BJD,2009,4
 Mayurbhanj  , Orissa  , Laxman Tudu  ,BJD,2009,5
 Balasore  , Orissa  , Srikant Kumar Jena  ,INC  ,2009,6
 Bhadrak  , Orissa  , Arjun Charan Sethi  ,BJD,2009,7
 Jajpur  , Orissa  , Mohan Jena  ,BJD,2009,8
 Dhenkanal  , Orissa  , Tathagata Satpathy  ,BJD,2009,9
 Bolangir  , Orissa  , Kalikesh Narayan Singh Deo  ,BJD,2009,10
 Kalahandi  , Orissa  , Bhakta Charan Das  ,INC  ,2009,11
 Nabarangpur  , Orissa  , Pradeep Kumar Majhi  ,INC  ,2009,12
 Kandhamal  , Orissa  , Rudramadhab Ray  ,BJD,2009,13
 Cuttack  , Orissa  , Bhartruhari Mahtab  ,BJD,2009,14
 Kendrapara  , Orissa  , Baijayant Panda  ,BJD,2009,15
 Jagatsinghpur  , Orissa  , Bibhu Prasad Tarai  ,CPI,2009,16
 Puri  , Orissa  , Pinaki Misra  ,BJD,2009,17
 Bhubaneswar  , Orissa  , Prasanna Kumar Patasani  ,BJD,2009,18
 Aska  , Orissa  , Nityananda Pradhan  ,BJD,2009,19
 Berhampur  , Orissa  , Sidhant Mohapatra  ,BJD,2009,20
