Constituency,State,MP,Party,Year
CANNANORE,Kerala, MULIAPPALLI RAMACHANDRAN,INC,1984
BADAGARA,Kerala, K. P. UNNIKRISHNAN,ICS,1984
CALICUT,Kerala, K. G. ADIYODI,INC,1984
MANJERI,Kerala, EBRAHIM SULAMAN SAIT,MUL,1984
PONNANI,Kerala, G. M. BANATWALLA,MUL,1984
PALGHAT,Kerala, V. S. VIJAYARAGHAVAN,INC,1984
OTTAPALAM (SC),Kerala, K. R. NARAYANAN,INC,1984
TRICHUR,Kerala, P. A. ANTONY,INC,1984
MUKUNDAPURAM,Kerala, K. MOHANDAS,KCJ,1984
ERNAKULAM,Kerala, K. V. THOMAS,INC,1984
MUVATTUPUZHA,Kerala, GEORGE JOSEPH MUNDAKKAL (BABY),KCJ,1984
KOTTAYAM,Kerala, SURESH KURUP,CPM,1984
IDUKKI,Kerala, P. J. KURIAN,INC,1984
ALLEPPEY,Kerala, VAKKON PURUSHOTHAMAN,INC,1984
MAVELIKARA,Kerala, THAMPAN THOMAS,JNP,1984
ADOOR (SC),Kerala, K. K. KUNHAMBU,INC,1984
QUILON,Kerala, S. KRISHNA KUMAR,INC,1984
CHIRAYINKIL,Kerala, THALEKKUNNIL BASHEER,INC,1984
KASARAGOD ,Kerala,I. RAMA RAI ,INC,1984
TRIVANDRUM ,Kerala,A. CHARLES ,INC,1984
BHIND,Madhya Pradesh, KRISHNA SINGH,INC,1984
GWALIOR,Madhya Pradesh, MADHAVRAO JIWAJIRAO SCINDIA,INC,1984
GUNA,Madhya Pradesh, MAHENDRA SINGH,INC,1984
SAGAR (SC),Madhya Pradesh, NANDLAL CHOUDHARY,INC,1984
KHAJURAHO,Madhya Pradesh, CHATURVEDI VIDYAWATI,INC,1984
DAMOH,Madhya Pradesh, DAL CHANDRA JAIN,INC,1984
SATNA,Madhya Pradesh, AZIZ QURESHI,INC,1984
REWA,Madhya Pradesh, MARTAND SINGH,INC,1984
SIDHI (ST),Madhya Pradesh, MOTILAL SINGH,INC,1984
SHAHDOL (ST),Madhya Pradesh, DALBIR SINGH,INC,1984
RAIGARH (ST),Madhya Pradesh, PUSHPA DEVI,INC,1984
JANJGIR,Madhya Pradesh, PRABHAT KUMAR MISHRA,INC,1984
BILASPUR (SC),Madhya Pradesh, KHELAN RAM JANGDE,INC,1984
SARANGARH (SC),Madhya Pradesh, PARASRAM BHARADWAJ,INC,1984
RAIPUR,Madhya Pradesh, KAIYUR BHUSHAN,INC,1984
MAHASAMUND,Madhya Pradesh, VIDYACHARAN SHUKLA,INC,1984
KANKER (ST),Madhya Pradesh, ARVIND NETAM,INC,1984
BASTAR (ST),Madhya Pradesh, MANKURAM SODI,INC,1984
DURG,Madhya Pradesh, CHANDULAL CHANDRAKAR,INC,1984
RAJNANDGAON,Madhya Pradesh, SHIVENDRA BAHADUR SINGH,INC,1984
BALAGHAT,Madhya Pradesh, NANDKISHORE SHARMA,INC,1984
MANDLA (ST),Madhya Pradesh, MOHAN LAL,INC,1984
JABALPUR,Madhya Pradesh, AJAY NARAYAN MUSHRAN,INC,1984
SEONI,Madhya Pradesh, GARGISHANKER MISHRA,INC,1984
CHHINDWARA,Madhya Pradesh, KAMAL NATH,INC,1984
BETUL,Madhya Pradesh, ASLAM SHERKHAN,INC,1984
HOSHANGABAD,Madhya Pradesh, RAMESHWAR NIKHRA,INC,1984
BHOPAL,Madhya Pradesh, K. N. PRADHAN,INC,1984
VIDISHA,Madhya Pradesh, PRATAPBHANU KRISHNA GOPAL,INC,1984
RAJGARH,Madhya Pradesh, DIGVIJAI SINGH,INC,1984
SHAJAPUR (SC),Madhya Pradesh, BAPULAL MALVIYA,INC,1984
KHANDWA,Madhya Pradesh, KALICHARAN RAMRATAN,INC,1984
KHARGONE,Madhya Pradesh, SUBHASH YADAV,INC,1984
DHAR (ST),Madhya Pradesh, PRATAPSINGH BAGHEL,INC,1984
INDORE,Madhya Pradesh, PRAKASH CHAND SETHI,INC,1984
UJJAIN (SC),Madhya Pradesh, SATYANARAYAN PAWAR,INC,1984
JHABUA (ST),Madhya Pradesh, DILEEP SINGH BHURIO,INC,1984
MORENA (SC) ,Madhya Pradesh,KAMMODILAL JATAV ,INC,1984
SURGUJA (ST) ,Madhya Pradesh,VIJAI PRATAP SINGH ,INC,1984
MANDSAUR ,Madhya Pradesh,BALKAVI BAIRAGI (NANDRAMDAS DWARKADAS) ,INC,1984
RATNAGIRI,Maharashtra, HUSEN DALWAI,INC,1984
KOLABA,Maharashtra, D. B. PATIL,PWP,1984
BOMBAY SOUTH,Maharashtra, DEORA MURLI,INC,1984
THANE,Maharashtra, GHOPAL SHANTARAM GOPAL,INC,1984
DAHANU (ST),Maharashtra, SHINGADA DAMU BARKU,INC,1984
MALEGAON (ST),Maharashtra, BHOYE SITARAM SAYAJI,INC,1984
DHULE,Maharashtra, (ST) BHOYE RESHAMA  MOTIRAM,INC,1984
ERANDOL,Maharashtra, VIJAYKUMAR NAVAL PATIL,INC,1984
JALGAON,Maharashtra, MAHAJAN YADAV SHIVRAM,INC,1984
BULDHANA (SC),Maharashtra, WASNIK MUKUL BALKRISHNA,INC,1984
AKOLA,Maharashtra, MADHUSUDAN ATMARAM VAIRALE,INC,1984
WASHIM,Maharashtra, GHULAM NABI AZAD,INC,1984
AMRAVATI,Maharashtra, CHOUDHARY USHATAI PRAKASH,INC,1984
RAMTEK,Maharashtra, NARSIMHA RAO P. V.,INC,1984
NAGPUR,Maharashtra, BANWARILAL BHAGWANDAS PUROHIT,INC,1984
BHANDARA,Maharashtra, KESHAORAO ATMARAMJI PARDHI,INC,1984
CHIMUR,Maharashtra, MUTTEMWAR VILAS BABURAO,INC,1984
CHANDRAPUR,Maharashtra, POTDUKHE SHANTARAM RAJESHWAR,INC,1984
WARDHA,Maharashtra, SATHE VASANT PURUSHOTTAM,INC,1984
YAVATMAL,Maharashtra, PATIL UTTAMRAO DEORAO,INC,1984
HINGOLI,Maharashtra, RATHODE UTTAMRAOJI BALIRAMJI,INC,1984
NANDED,Maharashtra, CHAVAN SHANKARRAO BHURAO,INC,1984
PARBHANI,Maharashtra, YADAV RAMRAO NARAYANRAO,INC,1984
JALNA,Maharashtra, BALASAHEB RAMRAO PAWAR,INC,1984
AURANGABAD,Maharashtra, SAHEBRAO P.DONGAONKAR,ICS,1984
BEED,Maharashtra, KSHIRSAGAR KEHSARBAI SONAJIRAO,INC,1984
LATUR,Maharashtra, PATIL SHIVRAJ VISHWANATH,INC,1984
OSMANABAD (SC),Maharashtra, ARVIND TULSHIRAMJI KAMBLE,INC,1984
PANDHARPUR (SC),Maharashtra, THORAT SANDIPAN BHAGWAN,INC,1984
AHMEDNAGAR,Maharashtra, GADAKH YESHWANTRAO KANKARRAO,INC,1984
KOPARGAON,Maharashtra, VIKHE EKNATHRAO ALIAS BALESAHEB VITHALRAO,INC,1984
KHED,Maharashtra, RAMKRISHNA MORE,INC,1984
PUNE,Maharashtra, GADIL VITHALRAO NARHARI,INC,1984
