Constituency,State,MP,Party,Year,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
BHOPAL,Madhya Pradesh, SHANKARDAYAL SHARMA,INC(I),1980,,,,,
BILASPUR (SC),Madhya Pradesh, GODIL PRASAD ANURAGI,INC(I),1980,,,,,
CHHINDWARA,Madhya Pradesh, KAMAL NATH,INC(I),1980,,,,,
DAMOH,Madhya Pradesh, PRABHUNARAYAN RAMDHAN,INC(I),1980,,,,,
DHAR (ST),Madhya Pradesh, FATEHBHANUSINH S/O RAMSINH,INC(I),1980,,,,,
DURG,Madhya Pradesh, CHANDULAL CHANRAKAR,INC(I),1980,,,,,
GUNA,Madhya Pradesh, MADHAVRAO SEINDIA,INC(I),1980,,,,,
GWALIOR,Madhya Pradesh, NARAYAN KRISHNARAO SHEJWALKAR,JNP,1980,,,,,
HOSHANGABAD,Madhya Pradesh, RAMESHWAR NIKHRA,INC(I),1980,,,,,
INDORE,Madhya Pradesh, PRAKASH CHAND SETHI,INC(I),1980,,,,,
JABALPUR,Madhya Pradesh, MUNDER SHARMA,INC(I),1980,,,,,
JANJGIR,Madhya Pradesh, RAMGOPAL TIWARI,INC(I),1980,,,,,
JHABUA (ST),Madhya Pradesh, DILEEP SINGH BHURIA,INC(I),1980,,,,,
KANKER (ST),Madhya Pradesh, ARVIND NETAM,INC(I),1980,,,,,
KHAJURAHO,Madhya Pradesh, CHATURVEDI VIDYAWATI,INC(I),1980,,,,,
KHANDWA,Madhya Pradesh, SHIVKUMARSINGH NAWAL SINGH,INC(I),1980,,,,,
KHARGONE,Madhya Pradesh, SUBHASH YADAV,INC(I),1980,,,,,
MAHASAMUND,Madhya Pradesh, VIDYA CHARAN SHUKLA RAVISHANKAR SHUKLA,INC(I),1980,,,,,
MANDLA (ST),Madhya Pradesh, CHHOTELAL SONU,INC(I),1980,,,,,
MANDSAUR  ,Madhya Pradesh,BHANWARLAL RAJMAL NAHATA,INC(I),1980,,,,,
MORENA (SC) ,Madhya Pradesh,BABULAL SOLANKI ,INC(I),1980,,,,,
RAIGARH (ST),Madhya Pradesh, PUSHPA DEVI SINGH,INC(I),1980,,,,,
RAIPUR,Madhya Pradesh, KAYUR BHUSHAN MATHURA PRASAD,INC(I),1980,,,,,
RAJGARH,Madhya Pradesh, PANDIT VASANT KUMAR RAM KRISHNA,JNP,1980,,,,,
RAJNANDGAON,Madhya Pradesh, SHIVENDRA BAHADUR SINGH,INC(I),1980,,,,,
REWA ,Madhya Pradesh,MAHARAJA MARTAND SINGH,IND,1980,,,,,
SAGAR (SC),Madhya Pradesh, SAHODRABAI RAI,INC(I),1980,,,,,
SARANGARH (SC),Madhya Pradesh, PARASRAM RAM PRASAD,INC(I),1980,,,,,
SATNA,Madhya Pradesh, GULSHER AHMED,INC(I),1980,,,,,
SEONI,Madhya Pradesh, GARGISHAKER RAMKRISHNA MISHRA,INC(I),1980,,,,,
SHAHDOL (ST),Madhya Pradesh, DALBIR SINGH,INC(I),1980,,,,,
SHAJAPUR (SC),Madhya Pradesh, FULCHAND VERMA,JNP,1980,,,,,
SIDHI (ST),Madhya Pradesh, MOTI LAL SINGH,INC(I),1980,,,,,
SURGUJA (ST) ,Madhya Pradesh,CHAKARADHARI,INC(I),1980,,,,,
UJJAIN (SC),Madhya Pradesh, SATYANARAYAN JATIYA,JNP,1980,,,,,
VIDISHA,Madhya Pradesh, PRATAPBHANU KRISHNAGOPAL,INC(I),1980,,,,,
AHMEDNAGAR,Maharashtra, ATHARE CHANDRABHAN BALAJI,INC(I),1980,,,,,
AKOLA,Maharashtra, VAIRALE MADHUSUDAN ATMARAM,INC(I),1980,,,,,
AMRAVATI,Maharashtra, USHA PRAKASH CHOUDHARI,INC(I),1980,,,,,
AURANGABAD,Maharashtra, KAZI SALEM,INC(I),1980,,,,,
BARAMATI,Maharashtra, PATIL SHANKARRAO BAJIRAO,INC(I),1980,,,,,
BEED  ,Maharashtra,KASHIRSAGAR KESARBAI SONAJIRAO ALIAS KAKU,INC(I),1980,,,,,
BHANDARA,Maharashtra, PARDHIR KESHAORAO ATMARAMJI,INC(I),1980,,,,,
BOMBAY NORTH ,Maharashtra,RAVINDRA VARMA ,JNP,1980,,,,,
BOMBAY NORTH CENTRAL,Maharashtra, PRAMILA MADHU DANDVATE ,JNP,1980,,,,,
BOMBAY NORTH EAST ,Maharashtra,SUBRAMANIAN SWAMY ,JNP,1980,,,,,
BOMBAY NORTH WEST ,Maharashtra,RAM JETHAMALANI ,JNP,1980,,,,,
BOMBAY SOUTH,Maharashtra, RAJDA RATASINH GOKULDAS,JNP,1980,,,,,
BOMBAY SOUTH CENTRAL ,Maharashtra,BHOLE R. R. ,INC(I),1980,,,,,
BULDHANA (SC),Maharashtra, WASNIK BALKRISHNA RAMCHANDRA,INC(I),1980,,,,,
CHANDRAPUR,Maharashtra, SHANTARAM POTDUKHE,INC(I),1980,,,,,
CHIMUR,Maharashtra, MUTTEMWAR VILAS BABURA,INC(I),1980,,,,,
DAHANU (ST),Maharashtra, SHINGHADA DAMU BARKU,INC(I),1980,,,,,
DHULE,Maharashtra, (ST) BHOYE RESHMA MOTIRAM,INC(I),1980,,,,,
ERANDOL,Maharashtra, VIJAY KUMAR NAVAL PATIL,INC(I),1980,,,,,
HINGOLI,Maharashtra, UTTAMRAO BALIRAMJI RATHOD,INC(I),1980,,,,,
ICHALKARANJI,Maharashtra, MANE RAJARAM ALIAS BALASAHEB SHANKARRAO,INC(I),1980,,,,,
JALGAON,Maharashtra, YADAV SHIVRAM MAHAJAN,INC(I),1980,,,,,
JALNA,Maharashtra, BALASAHEB PAWAR,INC(I),1980,,,,,
KARAD,Maharashtra, MOHITE YASHAVANTRAO JIJAVA,INC(I),1980,,,,,
KHED,Maharashtra, MORE RAMKRISHNA SADASHIV,INC(I),1980,,,,,
KOLABA ,Maharashtra,A. T. PATIL ,INC(I),1980,,,,,
KOLHAPUR ,Maharashtra,GAIKWAD UDAYASINGRAO NANASAHEB ,INC(I),1980,,,,,
KOPARGAON,Maharashtra, VIKHE EKNATHRAO VITHALRAO,INC(I),1980,,,,,
LATUR,Maharashtra, SHIVRAJ VISHWANATH PATIL,INC(I),1980,,,,,
MALEGAON (ST),Maharashtra, KHANDOLE ZAMARU MANGALU,INC(I),1980,,,,,
NAGPUR,Maharashtra, DHOTE JAMBUWANT BAPURAO,INC(I),1980,,,,,
NANDED,Maharashtra, CHAVAN SHANKARRAO BHAURAO,INC(I),1980,,,,,
NANDURBAR (ST),Maharashtra, SURUPSING HIRYA NAIK,INC(I),1980,,,,,
NASHIK ,Maharashtra,WAGH PRATAP DEORAM ,INC(I),1980,,,,,
OSMANABAD (SC),Maharashtra, SAWANT TRIMBAK MAROTRAO,INC(I),1980,,,,,
PANDHARPUR (SC),Maharashtra, THORAT SANDIPAN BHAGWAN,INC(I),1980,,,,,
PARBHANI,Maharashtra, YADAV RAMRAO NARAYANRAO,INC(I),1980,,,,,
PUNE,Maharashtra, GADGIL VITTHAL NARHAR,INC(I),1980,,,,,
RAJAPUR ,Maharashtra,MADHU DANDVATE ,JNP,1980,,,,,
RAMTEK,Maharashtra, BARVE JATIRAM CHAITRAM,INC(I),1980,,,,,
RATNAGIRI,Maharashtra, BAPUSAHEB PARULEKAR,JNP,1980,,,,,
SANGLI,Maharashtra, PATIL VASANTRAO BANDUJI,INC(I),1980,,,,,
SATARA,Maharashtra, CHAVAN YASHVANTRAO BALAWANTRAO,INC(U),1980,,,,,
SOLAPUR,Maharashtra, KUCHAN GANGADHAR SIDRAMAPPA,INC(I),1980,,,,,
THANE,Maharashtra, MHALGI RAMCHANDRA KASHINATH,JNP,1980,,,,,
WARDHA,Maharashtra, VASANTRAO SATHE,INC(I),1980,,,,,
WASHIM,Maharashtra, GULAM NABI AZAD,INC(I),1980,,,,,
YAVATMAL,Maharashtra, PATIL UTTAMRAO DEORAO,INC(I),1980,,,,,
ASKA,Orissa, RAMACHANDRA RATH,INC(I),1980,,,,,
BALASORE,Orissa, CHINTAMANI JENA,INC(I),1980,,,,,
BERHAMPUR,Orissa, JAGANNATH RAO R.,INC(I),1980,,,,,
BHADRAK (SC),Orissa, ARJUN CHARAN SETHI,INC(I),1980,,,,,
BHUBANESWAR,Orissa, CHINTAMANI PANIGRAHI,INC(I),1980,,,,,
BOLANGIR,Orissa, NITYANANDA MISHRA,INC(I),1980,,,,,
CUTTACK,Orissa, JANAKI BALLAV PATNAIK,INC(I),1980,,,,,
DEOGARH,Orissa, NARAYAN SAHU,INC(I),1980,,,,,
DHENKANAL ,Orissa,RAJA KAMAKHYA PRASAD SINGH DEO MAHINDRA BAHADUR, INC(I),1980,,,,,
JAGATSINGHPUR,Orissa, LAKSHMAN MALLICK,INC(I),1980,,,,,
JAJPUR (SC),Orissa, ANADI CHARAN DAS,INC(I),1980,,,,,
KALAHANDI,Orissa, RASABEHARI BEHARA,INC(I),1980,,,,,
KENDRAPARA,Orissa, BIJOYNANDA PATANAIK,JNP(S),1980,,,,,
KEONJHAR (ST) ,Orissa,HARIHAR SOREN ,INC(I),1980,,,,,
KORAPUT (ST),Orissa, GIRIDHAR GOMANGO,INC(I),1980,,,,,
MAYURBHANJ (ST) ,Orissa,MAN MOHAN TUDU ,INC(I),1980,,,,,
NOWRANGPUR (ST),Orissa, KHAGAPATI PRADHANI,INC(I),1980,,,,,
PHULBANI (SC),Orissa, MRUTYUNJAYA NAYAK,INC(I),1980,,,,,
PURI,Orissa, BRAJAMOHAN MOHANTY,INC(I),1980,,,,,
SAMBALPUR,Orissa, KRUPASINDHU BHOI,INC(I),1980,,,,,
