Constituency,State,MP,Party,Year,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
Kurukshetra,HARYANA,Prof Kailasho Devi,INLD,2002,2,GEN,7,F,438701
Mahendragarh,HARYANA,Dr. Sudha Yadav,BJP,2002,7,GEN,7,F,420706
Rohtak,HARYANA,Inder Singh,INLD,2002,5,GEN,7,M,366926
Sirsa,HARYANA,Dr. Sushil Kumar Indora,INLD,2002,10,SC,7,M,419278
Sonepat,HARYANA,Kishan Singh Sangwan,BJP,2002,4,GEN,7,M,457056
Hamirpur,HIMACHAL PRADESH,Suresh Chandel,BJP,2002,4,GEN,7,M,336172
Kangra,HIMACHAL PRADESH,Shanta Kumar,BJP,2002,3,GEN,7,M,325066
Mandi,HIMACHAL PRADESH,Maheshwar Singh,BJP,2002,2,GEN,7,M,325929
Simla,HIMACHAL PRADESH,Lt. Col. Dhani Ram Shandil,HVC,2002,1,SC,7,M,264002
Bagalkot,KARNATAKA,R.S. Patil,INC,2002,27,GEN,7,M,378488
Bangalore North,KARNATAKA,C.K Jaffar Sharief,INC,2002,12,GEN,7,M,525523
Bangalore South,KARNATAKA,Ananth Kumar,BJP,2002,13,GEN,7,M,410161
Belgaum,KARNATAKA,Amarsinh Vasantarao Patil,INC,2002,25,GEN,7,M,383444
Bellary,KARNATAKA,Kolur Basavanagoud,INC,2002,5,GEN,7,M,259851
Bidar,KARNATAKA,Ramchandra Veerappa,BJP,2002,1,SC,7,M,350221
Bijapur,KARNATAKA,Basangouda Ramangouda Patil(Yatnal),BJP,2002,28,GEN,7,M,348816
Chamarajanagar,KARNATAKA,V.Sreenivasaprasad,JD(U),2002,15,SC,7,M,311547
Chikballapur,KARNATAKA,R.L. Jalappa,INC,2002,9,GEN,7,M,422587
Chikkodi,KARNATAKA,Jigajinagi Rameshchandappa,JD(U),2002,26,SC,7,M,392450
Chikmagalur,KARNATAKA,D.C.Srikantappa,BJP,2002,20,GEN,7,M,324470
Chitradurga,KARNATAKA,Shashi Kumar,JD(U),2002,7,GEN,7,M,370793
Davangere,KARNATAKA,G.Mallikarjunappa,BJP,2002,6,GEN,7,M,398969
Dharwad North,KARNATAKA,Vijay Sankeshwar,BJP,2002,24,GEN,7,M,345197
Dharwad South,KARNATAKA,Prof. I.G. Sanadi,INC,2002,23,GEN,7,M,355523
Gulbarga,KARNATAKA,Iqbal Ahemed Saradgi,INC,2002,2,GEN,7,M,352359
Hassan,KARNATAKA,G.Putta Swamy Gowda,INC,2002,19,GEN,7,M,398344
Kanakapura,KARNATAKA,H.D.DEVEGOWDA,JD(U),2002,11,GEN,7,M,581709
Kanara,KARNATAKA,Alva Margaret,INC,2002,22,GEN,7,F,356246
Kolar,KARNATAKA,K.H. Muniyappa,INC,2002,10,SC,7,M,321964
Koppal,KARNATAKA,H.G.Ramulu,INC,2002,4,GEN,7,M,350599
Mandya,KARNATAKA,Ambareesh @ Amaranatha .M.H,INC,2002,14,GEN,7,M,418110
Mangalore,KARNATAKA,V.Dhananjaya Kumar,BJP,2002,17,GEN,7,M,353536
Mysore,KARNATAKA,Srikantadatta Narasimharaja Wadiyar,INC,2002,16,GEN,7,M,338051
Raichur,KARNATAKA,A. Venkatesh Naik,INC,2002,3,GEN,7,M,359946
Shimoga,KARNATAKA,S.Bangarappa,INC,2002,21,GEN,7,M,427870
Tumkur,KARNATAKA,G.S.Basavaraj,INC,2002,8,GEN,7,M,318922
Udupi,KARNATAKA,Vinay Kumar Sorake,INC,2002,18,GEN,7,M,352326
Adoor,KERALA,Kodikunnil Suresh,INC,2002,17,SC,7,M,337003
Alleppey,KERALA,V.M. Sudheeran,INC,2002,15,GEN,7,M,392700
Badagara,KERALA,A.K. Premajam,CPM,2002,3,GEN,7,F,404355
Calicut,KERALA,K. Muraleedharan,INC,2002,4,GEN,7,M,383425
Cannanore,KERALA,A.P. Abdullakkutty,CPM,2002,2,GEN,7,M,428390
Chirayinkil,KERALA,Varkala Radhakrishnan,CPM,2002,19,GEN,7,M,309304
Ernakulam,KERALA,Adv. George Eden,INC,2002,11,GEN,7,M,394058
Idukki,KERALA,K. Francis George,KEC,2002,14,GEN,7,M,365313
Kasaragod,KERALA,T. Govindan,CPM,2002,1,GEN,7,M,423564
Kottayam,KERALA,Suresh Kurup,CPM,2002,13,GEN,7,M,344296
Manjeri,KERALA,E. Ahamed,MUL,2002,5,GEN,7,M,437563
Mavelikara,KERALA,Ramesh Chennithala,INC,2002,16,GEN,7,M,310455
Mukundapuram,KERALA,K. Karunakaran,INC,2002,10,GEN,7,M,397156
Muvattupuzha,KERALA,Adv. P.C. Thomas,KEC(M),2002,12,GEN,7,M,357402
Ottapalam,KERALA,S. Ajayakumar,CPM,2002,8,SC,7,M,359758
Palghat,KERALA,N.N.Krishnadas,CPM,2002,7,GEN,7,M,372536
Ponnani,KERALA,G.M. Banatwalla,MUL,2002,6,GEN,7,M,372572
Quilon,KERALA,P. Rajendran,CPM,2002,18,GEN,7,M,351869
Trichur,KERALA,A.C. Jose,INC,2002,9,GEN,7,M,343793
Trivandrum,KERALA,Advocate V.S. Sivakumar,INC,2002,20,GEN,7,M,288390
Balaghat,MADHYA PRADESH,Prahladsingh Patel,BJP,2002,23,GEN,7,M,251308
Bastar,MADHYA PRADESH,Baliram Kashyap,BJP,2002,20,ST,7,M,155421
Betul,MADHYA PRADESH,"Vijay Kumar Khandelwal "" Munni Bhaiya""",BJP,2002,28,GEN,7,M,272512
Bhind,MADHYA PRADESH,Dr. Ramlakhan Singh,BJP,2002,2,GEN,7,M,270766
Bhopal,MADHYA PRADESH,Uma Bharti,BJP,2002,30,GEN,7,F,537905
Bilaspur,MADHYA PRADESH,Punnulal Mohale,BJP,2002,15,SC,7,M,274860
Chhindwara,MADHYA PRADESH,Kamal Nath,INC,2002,27,GEN,7,M,399904
Damoh,MADHYA PRADESH,Dr. Ramkrishna Kusmaria,BJP,2002,7,GEN,7,M,246909
Dhar,MADHYA PRADESH,Gajendra Singh Rajukhedi,INC,2002,36,ST,7,M,355482
Durg,MADHYA PRADESH,Tara Chand Sahu,BJP,2002,21,GEN,7,M,389777
Guna,MADHYA PRADESH,JYOTIRADITYA MADHAVRAO SCINDIA,INC,2002,4,GEN,7,M,535728
Gwalior,MADHYA PRADESH,Jaibhan Singh Pavaiya,BJP,2002,3,GEN,7,M,254486
Hoshangabad,MADHYA PRADESH,Sundar Lal Patwa,BJP,2002,29,GEN,7,M,353760
Indore,MADHYA PRADESH,Sumitra Mahajan,BJP,2002,37,GEN,7,F,474167
Jabalpur,MADHYA PRADESH,Jaishree Banerjee ( Bhabhi Ji),BJP,2002,25,GEN,7,F,300648
Janjgir,MADHYA PRADESH,Dr. Charandas Mahant,INC,2002,14,GEN,7,M,278931
Jhabua,MADHYA PRADESH,Kantilal Bhuriya,INC,2002,39,ST,7,M,371842
Kanker,MADHYA PRADESH,Sohan Potai,BJP,2002,19,ST,7,M,318040
Khajuraho,MADHYA PRADESH,Satyavrat Chaturvedi ( Vinod Bhaiya ),INC,2002,6,GEN,7,M,335861
Khandwa,MADHYA PRADESH,Nandkumarsingh Chouhan ( Nandu Bhaiya ),BJP,2002,34,GEN,7,M,364161
Khargone,MADHYA PRADESH,Tarachand Patel,INC,2002,35,GEN,7,M,354133
Mahasamund,MADHYA PRADESH,Shyama Charan Shukla,INC,2002,18,GEN,7,M,340635
Mandla,MADHYA PRADESH,Faggan Singh Kulaste,BJP,2002,24,ST,7,M,232042
Mandsaur,MADHYA PRADESH,Dr. Lakshaminarayan Pandey,BJP,2002,40,GEN,7,M,395928
Morena,MADHYA PRADESH,Ashok Chhaviram  Argal,BJP,2002,1,SC,7,M,210790
Raigarh,MADHYA PRADESH,Vishnudeo Sai,BJP,2002,13,ST,7,M,276244
Raipur,MADHYA PRADESH,Ramesh Bais,BJP,2002,17,GEN,7,M,354736
Rajgarh,MADHYA PRADESH,Laxman Singh,INC,2002,32,GEN,7,M,354234
Rajnandgaon,MADHYA PRADESH,Dr. Raman,BJP,2002,22,GEN,7,M,304611
Rewa,MADHYA PRADESH,Sunder Lal Tiwari,INC,2002,9,GEN,7,M,275115
Sagar,MADHYA PRADESH,Virendra Kumar,BJP,2002,5,SC,7,M,293357
Sarangarh,MADHYA PRADESH,P. R. Khute,BJP,2002,16,SC,7,M,281769
Satna,MADHYA PRADESH,Ramanand Singh,BJP,2002,8,GEN,7,M,217932
Seoni,MADHYA PRADESH,Ram Naresh Tripathi,BJP,2002,26,GEN,7,M,282891
Shahdol,MADHYA PRADESH,Dalpat Singh,BJP,2002,11,ST,7,M,262229
Shajapur,MADHYA PRADESH,Thavarchand Gehlot,BJP,2002,33,SC,7,M,387607
Sidhi,MADHYA PRADESH,Chandra Pratap Singh ( Baba Sahab),BJP,2002,10,ST,7,M,264981
Surguja,MADHYA PRADESH,Khel Sai Singh,INC,2002,12,ST,7,M,297778
Ujjain,MADHYA PRADESH,Dr. Satyanarayan Jatiya,BJP,2002,38,SC,7,M,360103
Vidisha,MADHYA PRADESH,Shivraj Singh,BJP,2002,31,GEN,7,M,360421
Ahmednagar,MAHARASHTRA,Dilipkumar Mansukhlal Gandhi,BJP,2002,39,GEN,7,M,278508
Akola,MAHARASHTRA,Ambedkar Prakash Yashwant,BBM,2002,19,GEN,7,M,272243
Amravati,MAHARASHTRA,Gudhe Anant Mahadeoappa,SHS,2002,21,GEN,7,M,319916
Aurangabad,MAHARASHTRA,Chandrakant Khaire,SHS,2002,33,GEN,7,M,383144
Baramati,MAHARASHTRA,Pawar Sharadchandra Govindrao,NCP,2002,43,GEN,7,M,510928
Beed,MAHARASHTRA,Jaysingrao Gaikwad Patil,BJP,2002,34,GEN,7,M,332946
Bhandara,MAHARASHTRA,Chunnilalbhau Thakur,BJP,2002,24,GEN,7,M,291355
Buldhana,MAHARASHTRA,Adsul Anandrao Vithoba,SHS,2002,18,SC,7,M,294922
Chandrapur,MAHARASHTRA,Puglia Nareshkumar Chunnalal,INC,2002,26,GEN,7,M,328522
Chimur,MAHARASHTRA,Diwathe Namdeo Harbaji,BJP,2002,25,GEN,7,M,300601
Dahanu,MAHARASHTRA,Adv Chintaman Wanaga,BJP,2002,11,ST,7,M,240866
Dhule,MAHARASHTRA,Ramdas Rupla Gavit,BJP,2002,14,ST,7,M,211904
Erandol,MAHARASHTRA,Annasaheb M K Patil,BJP,2002,16,GEN,7,M,297867
Hingoli,MAHARASHTRA,Mane Shivaji Gyanbarao,SHS,2002,29,GEN,7,M,297284
Ichalkaranji,MAHARASHTRA,Mane Nivedita Sambhajirao,NCP,2002,47,GEN,7,F,337657
Jalgaon,MAHARASHTRA,Y G Mahajan Sir,BJP,2002,17,GEN,7,M,334020
Jalna,MAHARASHTRA,Danve Raosaheb Dadarao Patil,BJP,2002,32,GEN,7,M,332620
Karad,MAHARASHTRA,Shriniwas Dadasaheb Patil (Marulkar),NCP,2002,45,GEN,7,M,350504
Khed,MAHARASHTRA,Ashok Namdeorao Mohol,NCP,2002,41,GEN,7,M,284476
Kolaba,MAHARASHTRA,Ramsheth Thakur,PWPI,2002,3,GEN,7,M,274361
Kolhapur,MAHARASHTRA,Mandlik Sadashivrao Dadoba,NCP,2002,48,GEN,7,M,346459
Kopargaon,MAHARASHTRA,E V Alias Balasaheb Vikhe Patil,SHS,2002,40,GEN,7,M,253498
Latur,MAHARASHTRA,Patil Shivraj Vishwanath,INC,2002,35,GEN,7,M,314213
Malegaon,MAHARASHTRA,Mahale Haribahu Shankar,JD(S),2002,13,ST,7,M,191643
Mumbai North,MAHARASHTRA,Ram Naik,BJP,2002,9,GEN,7,M,517941
Mumbai North Central,MAHARASHTRA,Manohar Gajanan Joshi,SHS,2002,6,GEN,7,M,294935
Mumbai North East,MAHARASHTRA,Kirit Somaiya,BJP,2002,7,GEN,7,M,400436
Mumbai North West,MAHARASHTRA,Sunil Dutt,INC,2002,8,GEN,7,M,366669
Mumbai South,MAHARASHTRA,Jayawanti Mehta,BJP,2002,4,GEN,7,F,144945
Mumbai South Central,MAHARASHTRA,Mohan Vishnu Rawale,SHS,2002,5,GEN,7,M,176323
Nagpur,MAHARASHTRA,Vilas Muttemwar,INC,2002,23,GEN,7,M,424450
Nanded,MAHARASHTRA,Khatgaonkar Bhaskarrao Bapurao,INC,2002,30,GEN,7,M,327293
Nandurbar,MAHARASHTRA,Gavit Manikrao Hodlya,INC,2002,15,ST,7,M,318338
Nashik,MAHARASHTRA,Dhikale Uttamrao Nathuji,SHS,2002,12,GEN,7,M,303084
Osmanabad,MAHARASHTRA,Kamble Shivaji Vithalrao,SHS,2002,36,SC,7,M,252135
Pandharpur,MAHARASHTRA,Athawale Ramdas Bandu,IND,2002,38,SC,7,M,413115
Parbhani,MAHARASHTRA,Jadhav Suresh Ramrao,SHS,2002,31,GEN,7,M,254019
Pune,MAHARASHTRA,Pradeep Rawat,BJP,2002,42,GEN,7,M,304955
Rajapur,MAHARASHTRA,Suresh Prabhakar Prabhu,SHS,2002,1,GEN,7,M,221523
Ramtek,MAHARASHTRA,Subodh Mohite,SHS,2002,22,GEN,7,M,242454
Ratnagiri,MAHARASHTRA,Anant Gangaram Geete,SHS,2002,2,GEN,7,M,293834
Sangli,MAHARASHTRA,Prakash (Bapu) Vasantrao Patil,INC,2002,46,GEN,7,M,381162
Satara,MAHARASHTRA,Laxmanrao Pandurang Jadhav Patil,NCP,2002,44,GEN,7,M,313325
Sholapur,MAHARASHTRA,Shinde Sushilkumar Sambhajirao,INC,2002,37,GEN,7,M,286578
Thane,MAHARASHTRA,Prakash Paranjpe,SHS,2002,10,GEN,7,M,391446
Wardha,MAHARASHTRA,Prabha Rao,INC,2002,27,GEN,7,F,249564
Washim,MAHARASHTRA,Bhawana Pundlikrao Gawali,SHS,2002,20,GEN,7,F,244820
Yavatmal,MAHARASHTRA,Uttamrao Deorao Patil,INC,2002,28,GEN,7,M,258535
Aska,ORISSA,Kumudini Patnaik,BJD,2002,10,GEN,7,F,288240
Balasore,ORISSA,Mahameghabahan Aira Kharabela Swain,BJP,2002,2,GEN,7,M,428070
Berhampur,ORISSA,Anadicharan Sahu,BJP,2002,11,GEN,7,M,310704
Bhadrak,ORISSA,Arjun Charan Sethi,BJD,2002,3,SC,7,M,397450
Bhubaneswar,ORISSA,Prasanna Kumar Patasani,BJD,2002,9,GEN,7,M,414429
Bolangir,ORISSA,Sangeeta Kumari Singh Deo,BJP,2002,16,GEN,7,F,404988
Cuttack,ORISSA,Bhartruhari Mahtab,BJD,2002,6,GEN,7,M,407603
Deogarh,ORISSA,Debendra Pradhan,BJP,2002,18,GEN,7,M,376412
Dhenkanal,ORISSA,Kamakhya Prasad Singh Deo,INC,2002,19,GEN,7,M,248824
Jagatsinghpur,ORISSA,Trilochan Kanungo,BJD,2002,7,GEN,7,M,439888
Jajpur,ORISSA,Jagannath Mallik,BJD,2002,4,SC,7,M,351442
Kalahandi,ORISSA,Bikram Keshari Deo,BJP,2002,14,GEN,7,M,371911
Kendrapara,ORISSA,Prabhat Kumar Samantray,BJD,2002,5,GEN,7,M,359314
Keonjhar,ORISSA,Ananta Nayak,BJP,2002,21,ST,7,M,416956
Koraput,ORISSA,Hema Gamang,INC,2002,12,ST,7,F,277555
Mayurbhanj,ORISSA,Salkhan Murmu,BJP,2002,1,ST,7,M,300902
Nowrangpur,ORISSA,Parsuram Majhi,BJP,2002,13,ST,7,M,331863
Phulbani,ORISSA,Padmanava Behera,BJD,2002,15,SC,7,M,357024
Puri,ORISSA,Braja Kishore Tripathy,BJD,2002,8,GEN,7,M,383060
Sambalpur,ORISSA,Prasanna Acharya,BJD,2002,17,GEN,7,M,398597
Sundargarh,ORISSA,Jual Oram,BJP,2002,20,ST,7,M,326395
Amritsar,PUNJAB,Raghunandan Lal  Bhatia,INC,2002,2,GEN,7,M,296533
Bhatinda,PUNJAB,Bhan Singh Bhaura,CPI,2002,11,SC,7,M,327484
Faridkot,PUNJAB,Jagmeet Singh  Brar,INC,2002,12,GEN,7,M,418454
Ferozepur,PUNJAB,Zora Singh,SAD,2002,13,GEN,7,M,300236
Gurdaspur,PUNJAB,Vinod Khanna,BJP,2002,1,GEN,7,M,315267
Hoshiarpur,PUNJAB,Charanjit Singh Channi,INC,2002,6,GEN,7,M,256211
Jullundur,PUNJAB,Balbir Singh,INC,2002,4,GEN,7,M,267209
Ludhiana,PUNJAB,Gurcharan Singh Galib,INC,2002,9,GEN,7,M,346928
Patiala,PUNJAB,Preneet Kaur,INC,2002,8,GEN,7,F,360125
Phillaur,PUNJAB,Santosh  Chowdhary,INC,2002,5,SC,7,F,263540
Ropar,PUNJAB,Shamsher Singh,INC,2002,7,SC,7,M,326651
Sangrur,PUNJAB,Simranjit Singh Mann,SAD(M),2002,10,GEN,7,M,298846
Tarn Taran,PUNJAB,Tarlochan Singh  Tur,SAD,2002,3,GEN,7,M,305899
Ajmer,RAJASTHAN,Rasa Singh Rawat,BJP,2002,12,GEN,7,M,332130
Alwar,RAJASTHAN,Dr. Jaswant Singh Yadav,BJP,2002,8,GEN,7,M,325556
Banswara,RAJASTHAN,Tara Chand Bhagora,INC,2002,16,ST,7,M,379775
Barmer,RAJASTHAN,Col. Sonaram Choudhary,INC,2002,23,GEN,7,M,424150
Bayana,RAJASTHAN,Bahadur Singh,BJP,2002,10,SC,7,M,234881
Bharatpur,RAJASTHAN,Vishvendra Singh,BJP,2002,9,GEN,7,M,277460
Bhilwara,RAJASTHAN,Vijayendra Pal Singh,BJP,2002,20,GEN,7,M,287858
Bikaner,RAJASTHAN,Rameshwar Lal Dudi,INC,2002,2,GEN,7,M,493638
Chittorgarh,RAJASTHAN,Shrichand Kriplani,BJP,2002,19,GEN,7,M,411275
Churu,RAJASTHAN,Ram Singh Kaswan,BJP,2002,3,GEN,7,M,351485
Dausa,RAJASTHAN,Rama Pilot,INC,2002,7,GEN,7,M,349439
Ganganagar,RAJASTHAN,Nihal Chand,BJP,2002,1,SC,7,M,358104
Jaipur,RAJASTHAN,Girdhari Lal Bhargava,BJP,2002,6,GEN,7,M,456720
Jalore,RAJASTHAN,Buta Singh,INC,2002,22,SC,7,M,330652
Jhalawar,RAJASTHAN,Vansundhara Raje,BJP,2002,15,GEN,7,F,409574
Jhunjhunu,RAJASTHAN,Sisram Ola,INC,2002,4,GEN,7,M,330198
Jodhpur,RAJASTHAN,Jaswant Singh Vishnoi,BJP,2002,24,GEN,7,M,368463
Kota,RAJASTHAN,Raghuveer Singh Koushal,BJP,2002,14,GEN,7,M,320205
Nagaur,RAJASTHAN,Ram Raghunath Choudhary,INC,2002,25,GEN,7,M,267914
Pali,RAJASTHAN,Pusp Jain,BJP,2002,21,GEN,7,M,316844
Salumber,RAJASTHAN,Bheru Lal Meena,INC,2002,17,ST,7,M,290976
Sawai Madhopur,RAJASTHAN,Jaskaur,BJP,2002,11,ST,7,F,277014
Sikar,RAJASTHAN,Subhash Maharia,BJP,2002,5,GEN,7,M,341445
Tonk,RAJASTHAN,Shyam Lal Bansiwal,BJP,2002,13,SC,7,M,287265
Udaipur,RAJASTHAN,Girija Vyas,INC,2002,18,GEN,7,F,372645
Arakkonam,TAMIL NADU,"Jagathrakshakan, S. Dr.",DMK,2002,6,GEN,7,M,346520
Chengalpattu,TAMIL NADU,"Moorthy, A.K.",PMK,2002,5,GEN,7,M,330551
Chidambaram,TAMIL NADU,"Ponnuswamy, E.",PMK,2002,12,SC,7,M,345331
Coimbatore,TAMIL NADU,"Radhakrishnan, C.P.",BJP,2002,20,GEN,7,M,430068
Cuddalore,TAMIL NADU,"Sankar, Adhi",DMK,2002,11,GEN,7,M,358367
Dharmapuri,TAMIL NADU,"Elangovan, P.D.",PMK,2002,13,GEN,7,M,340162
Dindigul,TAMIL NADU,"Sreenivaasan, C.",ADMK,2002,23,GEN,7,M,294794
Gobichettipalayam,TAMIL NADU,"Kaliappan, K.K.",ADMK,2002,19,GEN,7,M,299184
Karur,TAMIL NADU,"Chinnasamy, M.",ADMK,2002,26,GEN,7,M,334407
Krishnagiri,TAMIL NADU,"Vetriselvan, V.",DMK,2002,14,GEN,7,M,347737
Madras Central,TAMIL NADU,Murasoli Maran,DMK,2002,2,GEN,7,M,364565
Madras North,TAMIL NADU,"Kuppusamy, C.",DMK,2002,1,GEN,7,M,471101
Madras South,TAMIL NADU,"Baalu, T.R.",DMK,2002,3,GEN,7,M,562221
Madurai,TAMIL NADU,"Mohan, P.",CPM,2002,24,GEN,7,M,328204
Mayiladuturai,TAMIL NADU,Manishankar Aiyar,INC,2002,29,GEN,7,M,324384
Nagapattinam,TAMIL NADU,"Vijayan, A.K.S.",DMK,2002,30,SC,7,M,342237
Nagercoil,TAMIL NADU,"Radhakrishnan,P.",BJP,2002,39,GEN,7,M,307319
Nilgiris,TAMIL NADU,"Mathan, M. (Alias) Master Mathan, M.",BJP,2002,18,GEN,7,M,369828
Palani,TAMIL NADU,"Kumarasamy, P.",ADMK,2002,22,GEN,7,M,297850
Perambalur,TAMIL NADU,Raja. A.,DMK,2002,28,SC,7,M,330675
Periyakulam,TAMIL NADU,"Dhinakaran,",ADMK,2002,25,GEN,7,M,303881
Pollachi,TAMIL NADU,"Krishnan, Dr.C.",MDMK,2002,21,SC,7,M,293038
Pudukkottai,TAMIL NADU,Thirunavukarasu,MADMK,2002,32,GEN,7,M,396216
Ramanathapuram,TAMIL NADU,Malaisamy.K.,ADMK,2002,34,GEN,7,M,265253
Rasipuram,TAMIL NADU,"Saroja, V. Dr.",ADMK,2002,15,SC,7,F,304843
Salem,TAMIL NADU,"Selvaganapathi, T.M.",ADMK,2002,16,GEN,7,M,363689
Sivaganga,TAMIL NADU,"Sudarsana Natchiappan,E.M.",INC,2002,33,GEN,7,M,246078
Sivakasi,TAMIL NADU,Vaiko,MDMK,2002,35,GEN,7,M,325829
Sriperumbudur,TAMIL NADU,"Krishnaswamy,   A.",DMK,2002,4,SC,7,M,385558
Tenkasi,TAMIL NADU,"Murugesan,S.",ADMK,2002,37,SC,7,M,239241
Thanjavur,TAMIL NADU,Palanimanickam.S.S.,DMK,2002,31,GEN,7,M,295191
Tindivanam,TAMIL NADU,Ramachandran N. Gingee.,MDMK,2002,10,GEN,7,M,323234
Tiruchendur,TAMIL NADU,"Jayaseelan, A.D.K.",DMK,2002,38,GEN,7,M,237630
Tiruchengode,TAMIL NADU,"Kannappan, M.",MDMK,2002,17,GEN,7,M,409293
Tiruchirappalli,TAMIL NADU,ELUMALAI @ DALIT EZHIMALAI R.,ADMK,2002,27,GEN,7,M,343874
Tirunelveli,TAMIL NADU,"Pandian, P.H.",ADMK,2002,36,GEN,7,M,249975
Tiruppattur,TAMIL NADU,"Venugopal, D.",DMK,2002,8,GEN,7,M,350703
Vandavasi,TAMIL NADU,"Durai, M.",PMK,2002,9,GEN,7,M,345539
Vellore,TAMIL NADU,"Shanmugam, N.T.",PMK,2002,7,GEN,7,M,324547
Agra,UTTAR PRADESH,Raj Babbar,SP,2002,73,GEN,7,M,288558
Akbarpur,UTTAR PRADESH,TRIBHUVAN DUTT,BSP,2002,27,SC,7,M,250405
Aligarh,UTTAR PRADESH,Sheela Gautam,BJP,2002,76,GEN,7,F,219313
Allahabad,UTTAR PRADESH,Dr. Murli Manohar Joshi,BJP,2002,56,GEN,7,M,219114
Almora,UTTAR PRADESH,Bachi Singh Rawat,BJP,2002,3,GEN,7,M,192388
Amethi,UTTAR PRADESH,Sonia Gandhi,INC,2002,25,GEN,7,F,418960
Amroha,UTTAR PRADESH,Rashid Alvi,BSP,2002,6,GEN,7,M,337919
Aonla,UTTAR PRADESH,Kunwar Sarvraj Singh,SP,2002,11,GEN,7,M,195839
Azamgarh,UTTAR PRADESH,Rama Kant Yadav,SP,2002,45,GEN,7,M,227616
Baghpat,UTTAR PRADESH,Ajit Singh,RLD,2002,81,GEN,7,M,358069
Bahraich,UTTAR PRADESH,Padamsen Chaudhary,BJP,2002,31,GEN,7,M,223768
Ballia,UTTAR PRADESH,Chandra Shekhar,SJP(R),2002,43,GEN,7,M,235946
Balrampur,UTTAR PRADESH,Rizvan Zaheer  Alias Rijju Bhaiya,SP,2002,32,GEN,7,M,255267
Banda,UTTAR PRADESH,Ram Sajiwan,BSP,2002,59,GEN,7,M,209995
Bansgaon,UTTAR PRADESH,Raj Narayan Pasi,BJP,2002,37,SC,7,M,184684
Bara Banki,UTTAR PRADESH,Ram Sagar,SP,2002,29,SC,7,M,210958
Bareilly,UTTAR PRADESH,Santosh Gangwar,BJP,2002,12,GEN,7,M,292813
Basti,UTTAR PRADESH,Shriram Chauhan,BJP,2002,34,SC,7,M,174378
Bijnor,UTTAR PRADESH,Sheeshram Singh Ravi,BJP,2002,5,SC,7,M,214266
Bilhaur,UTTAR PRADESH,Shyam Bihari Mishra,BJP,2002,64,GEN,7,M,192054
Budaun,UTTAR PRADESH,Saleem Iqbal Shervani,SP,2002,10,GEN,7,M,236496
Bulandshahr,UTTAR PRADESH,Chhatra Pal,BJP,2002,78,GEN,7,M,180102
Chail,UTTAR PRADESH,Suresh Pasi,BSP,2002,57,SC,7,M,151557
Chandauli,UTTAR PRADESH,Jawahar Lal Jaiswal,SP,2002,51,GEN,7,M,265412
Deoria,UTTAR PRADESH,Shri Prakash Mani,BJP,2002,41,GEN,7,M,251814
Domariaganj,UTTAR PRADESH,Ram Pal Singh,BJP,2002,35,GEN,7,M,198263
Etah,UTTAR PRADESH,Kr. Devendra Singh Yadav,SP,2002,71,GEN,7,M,226999
Etawah,UTTAR PRADESH,Raghuraj Singh Shakya,SP,2002,66,GEN,7,M,233065
Faizabad,UTTAR PRADESH,Vinay Katiyar,BJP,2002,28,GEN,7,M,193191
Farrukhabad,UTTAR PRADESH,Chandra Bhushan Singh (Munnoo Babu),SP,2002,68,GEN,7,M,222984
Fatehpur,UTTAR PRADESH,Ashok Patel,BJP,2002,58,GEN,7,M,142911
Firozabad,UTTAR PRADESH,Ram Jilal Suman,SP,2002,72,SC,7,M,289459
Garhwal,UTTAR PRADESH,Maj Gen. (Rtd) Bhuwan Chandra Khanduri(A.V.S.M.),BJP,2002,2,GEN,7,M,239745
Ghatampur,UTTAR PRADESH,Pyare Lal Sankhwar,BSP,2002,63,SC,7,M,156582
Ghazipur,UTTAR PRADESH,Manoj,BJP,2002,50,GEN,7,M,240592
Ghosi,UTTAR PRADESH,Bal Krishna,BSP,2002,44,GEN,7,M,207105
Gonda,UTTAR PRADESH,Braj Bhushan Sharan Singh,BJP,2002,33,GEN,7,M,243162
Gorakhpur,UTTAR PRADESH,Aditya Nath,BJP,2002,38,GEN,7,M,267382
Hamirpur,UTTAR PRADESH,Ashok Kumar Singh Chandel,BSP,2002,60,GEN,7,M,217732
Hapur,UTTAR PRADESH,Ramesh Chand Tomar,BJP,2002,79,GEN,7,M,234525
Hardoi,UTTAR PRADESH,Jai Prakash,ABLTC,2002,19,SC,7,M,206256
Hardwar,UTTAR PRADESH,Harpal Singh Sathi,BJP,2002,85,SC,7,M,236844
Hathras,UTTAR PRADESH,Kishan Lal Diler,BJP,2002,75,SC,7,M,178253
Jalaun,UTTAR PRADESH,Brij Lal Khabri,BSP,2002,62,SC,7,M,197705
Jalesar,UTTAR PRADESH,Prof. S.P. Singh Baghel,SP,2002,70,GEN,7,M,217336
Jaunpur,UTTAR PRADESH,Chinmayanand,BJP,2002,48,GEN,7,M,207405
Jhansi,UTTAR PRADESH,Sujan Singh Bundela,INC,2002,61,GEN,7,M,283387
Kairana,UTTAR PRADESH,Amir Alam,RLD,2002,83,GEN,7,M,206345
Kaiserganj,UTTAR PRADESH,Beni Prasad Verma,SP,2002,30,GEN,7,M,233934
Kannauj,UTTAR PRADESH,Akhilesh Yadav,SP,2002,67,GEN,7,M,306054
