ST_CODE,PC_NAME,ST_NAME,CAND_NAME,PARTYABBRE,YEAR,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
S11,TRICHUR,KERALA,V.V. Raghavan,CPI,1998,9,GEN,3,M,340216
S11,MUKUNDAPURAM,KERALA,A.C. Jose,INC,1998,10,GEN,3,M,347945
S11,ERNAKULAM,KERALA,Adv. George Eden,INC,1998,11,GEN,3,M,389387
S11,MUVATTUPUZHA,KERALA,Adv. P.C. Thomas,KEC(M),1998,12,GEN,3,M,356168
S11,KOTTAYAM,KERALA,Suresh Kurup,CPM,1998,13,GEN,3,M,335893
S11,IDUKKI,KERALA,P.C.Chacko,INC,1998,14,GEN,3,M,333999
S11,ALLEPPEY,KERALA,V.M. Sudheeran,INC,1998,15,GEN,3,M,386180
S11,MAVELIKARA,KERALA,Prof. P.J. Kurien,INC,1998,16,GEN,3,M,275001
S11,ADOOR,KERALA,Chengara Surendran,CPI,1998,17,SC,3,M,333297
S11,QUILON,KERALA,N.K. Premachandran,RSP,1998,18,GEN,3,M,396145
S11,CHIRAYINKIL,KERALA,Varkala Radhakrishnan,CPM,1998,19,GEN,3,M,321479
S11,TRIVANDRUM,KERALA,K. Karunakaran,INC,1998,20,GEN,3,M,337429
S12,MORENA,MADHYA PRADESH,ASHOK CHHABIRAM,BJP,1998,1,SC,3,M,277499
S12,BHIND,MADHYA PRADESH,DR. RAM LAKHAN SINGH,BJP,1998,2,GEN,3,M,292682
S12,GWALIOR,MADHYA PRADESH,MADHAVRAO SCINDIA,INC,1998,3,GEN,3,M,284365
S12,GUNA,MADHYA PRADESH,RAJMATA VIJAYA RAJE SCINDIA,BJP,1998,4,GEN,3,F,336151
S12,SAGAR,MADHYA PRADESH,VIRENDRA KUMAR,BJP,1998,5,SC,3,M,336638
S12,KHAJURAHO,MADHYA PRADESH,UMA BHARTI,BJP,1998,6,GEN,3,F,351607
S12,DAMOH,MADHYA PRADESH,DR. RAMKRISHNA KUSMARIA,BJP,1998,7,GEN,3,M,312057
S12,SATNA,MADHYA PRADESH,RAMANAND SINGH,BJP,1998,8,GEN,3,M,263011
S12,REWA,MADHYA PRADESH,CHANDRAMANI TRIPATHI,BJP,1998,9,GEN,3,M,276367
S12,SIDHI,MADHYA PRADESH,JAGANNATH SINGH,BJP,1998,10,ST,3,M,275803
S12,SHAHDOL,MADHYA PRADESH,GYAN SINGH,BJP,1998,11,ST,3,M,296764
S12,SURGUJA,MADHYA PRADESH,LARANG SAI,BJP,1998,12,ST,3,M,295452
S12,RAIGARH,MADHYA PRADESH,AJIT JOGI,INC,1998,13,ST,3,M,325112
S12,JANJGIR,MADHYA PRADESH,CHARANDAS MAHANT,INC,1998,14,GEN,3,M,290175
S12,BILASPUR,MADHYA PRADESH,PUNNULAL MOHLE,BJP,1998,15,SC,3,M,274793
S12,SARANGARH,MADHYA PRADESH,PARAS RAM BHARADWAJ,INC,1998,16,SC,3,M,217558
S12,RAIPUR,MADHYA PRADESH,RAMESH BAIS,BJP,1998,17,GEN,3,M,344380
S12,MAHASAMUND,MADHYA PRADESH,CHANDRASHEKHAR SAHU (CHAMPU),BJP,1998,18,GEN,3,M,332874
S12,KANKER,MADHYA PRADESH,SOHAN POTAI,BJP,1998,19,ST,3,M,270121
S12,BASTAR,MADHYA PRADESH,BALIRAM KASHYAP,BJP,1998,20,ST,3,M,151484
S12,DURG,MADHYA PRADESH,TARACHAND SAHU,BJP,1998,21,GEN,3,M,384901
S12,RAJNANDGAON,MADHYA PRADESH,MOTILAL VORA,INC,1998,22,GEN,3,M,304709
S12,BALAGHAT,MADHYA PRADESH,GAURISHANKAR CHATURBHUJ BISEN,BJP,1998,23,GEN,3,M,240066
S12,MANDLA,MADHYA PRADESH,FAGGAN SINGH KULASTE,BJP,1998,24,ST,3,M,268739
S12,JABALPUR,MADHYA PRADESH,DADA BABURAO PARANJPE,BJP,1998,25,GEN,3,M,300584
